epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,117.283,1.59106,1.26259,1.55635,0.5188,0.54214,0.50996,0.21977,1.81033,1.87782,1.86003,0.00106437,0.00106437,0.00106437
17,122.706,1.56543,1.2581,1.52595,0.46452,0.65168,0.55803,0.25165,1.79475,1.48638,1.88708,0.001052,0.001052,0.001052
18,128.319,1.54342,1.21165,1.50804,0.55969,0.55295,0.54577,0.2388,1.80866,1.58079,1.85047,0.00103962,0.00103962,0.00103962
19,133.272,1.5304,1.20478,1.49909,0.54265,0.60503,0.59126,0.2775,1.68382,1.40822,1.79734,0.00102725,0.00102725,0.00102725
20,138.302,1.51273,1.18842,1.5024,0.57423,0.61314,0.5725,0.25932,1.74801,1.37224,1.84864,0.00101488,0.00101488,0.00101488
21,143.225,1.50584,1.15105,1.47588,0.51416,0.59659,0.54789,0.26936,1.67829,1.4128,1.78295,0.0010025,0.0010025,0.0010025
22,148.144,1.4833,1.12945,1.47163,0.52836,0.54456,0.52805,0.23318,1.81127,1.3679,1.85792,0.000990125,0.000990125,0.000990125
23,153.056,1.49849,1.12227,1.48949,0.52038,0.6155,0.60098,0.28192,1.7251,1.24759,1.80163,0.00097775,0.00097775,0.00097775
24,158.487,1.44273,1.08431,1.46795,0.60052,0.62305,0.60987,0.27387,1.73058,1.25111,1.80463,0.000965375,0.000965375,0.000965375
25,164.084,1.43092,1.07434,1.44785,0.58576,0.57568,0.59316,0.25367,1.8515,1.26049,1.90401,0.000953,0.000953,0.000953
26,168.897,1.43027,1.04357,1.45199,0.66323,0.60741,0.65416,0.32264,1.63661,1.18263,1.74483,0.000940625,0.000940625,0.000940625
27,173.865,1.42502,1.05475,1.43833,0.6846,0.6287,0.66416,0.3262,1.64029,1.19272,1.72925,0.00092825,0.00092825,0.00092825
28,179.611,1.41089,0.99463,1.42052,0.68259,0.60561,0.67037,0.32587,1.65074,1.15911,1.73376,0.000915875,0.000915875,0.000915875
29,184.62,1.3737,0.95969,1.39408,0.54327,0.46139,0.49492,0.22234,1.78243,1.45979,1.82795,0.0009035,0.0009035,0.0009035
30,189.564,1.39753,1.00294,1.41623,0.60767,0.58011,0.60672,0.29198,1.72797,1.25503,1.78113,0.000891125,0.000891125,0.000891125
31,194.698,1.38667,0.98976,1.4258,0.67147,0.63225,0.65313,0.31863,1.73599,1.26128,1.77877,0.00087875,0.00087875,0.00087875
32,200.361,1.35924,0.97189,1.40027,0.62441,0.67086,0.67324,0.31786,1.7141,1.15538,1.78064,0.000866375,0.000866375,0.000866375
33,205.375,1.36441,0.98541,1.39465,0.63214,0.67493,0.67428,0.32299,1.6755,1.10827,1.75104,0.000854,0.000854,0.000854
34,210.282,1.34001,0.95678,1.36627,0.65828,0.61787,0.66641,0.31817,1.7093,1.12321,1.77674,0.000841625,0.000841625,0.000841625
35,215.193,1.32005,0.92582,1.35452,0.60407,0.69332,0.6799,0.35282,1.61793,1.07462,1.73394,0.00082925,0.00082925,0.00082925
36,220.28,1.29246,0.91759,1.35581,0.67183,0.66209,0.69705,0.34773,1.67212,1.10632,1.76547,0.000816875,0.000816875,0.000816875
37,225.586,1.3099,0.91449,1.35192,0.67217,0.62459,0.66017,0.33849,1.67727,1.11237,1.79078,0.0008045,0.0008045,0.0008045
38,230.596,1.30205,0.9229,1.35892,0.5206,0.6034,0.57753,0.25465,1.8331,1.20538,1.8933,0.000792125,0.000792125,0.000792125
39,236.179,1.29101,0.89342,1.34386,0.68494,0.66839,0.69262,0.34521,1.71329,1.11819,1.79144,0.00077975,0.00077975,0.00077975
40,241.297,1.26766,0.868,1.32013,0.65186,0.63951,0.66242,0.33784,1.65956,1.14609,1.75988,0.000767375,0.000767375,0.000767375
41,246.377,1.22919,0.84646,1.30699,0.6051,0.55124,0.58742,0.26875,1.76733,1.26861,1.84349,0.000755,0.000755,0.000755
